RRID,Name,AKA,Species,Description,MAC Knockins/outs,MIC Knockins/outs,Gene of interest,Origin,Publications,Comments
TSC_SD00052,CU305,,T. thermophila,"CHX1/CHX1; chx2-1/chx2-1; mpr1-1/mpr1-1 (CHX1; CHX2; MPR1; cy-s, mp-s, tr, II)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00054,CU307,,T. thermophila,"(cy-s, mp-s, ts, IV)",,,,,,
TSC_SD00057,CU310,,T. thermophila,"chx1-1/chx1-1; far/far (CHX1; cy-s, far-s, mp-s, tr, IV)",,,,,,
TSC_SD00060,CU313,,T. thermophila,"chx1-1/chx1-1 (CHX1; cy-s, IV)",,,,,,
TSC_SD00061,CU314,,T. thermophila,"(cy-s, mp-s, tr, III)",,,,,,
TSC_SD00065,CU318,,T. thermophila,"mpr1-1/mpr1-1; pmr1-1/pmr1-1? (pmr1-1; mpr1-1; mp-r, pm-r, ts, IV)",,,,,,
TSC_SD00066,CU319,,T. thermophila,"MPR1/mpr1-1; far/far (MPR1/mpr1-1; far-r, mp-r, tr, IV)",,,,,,
TSC_SD00068,CU321,,T. thermophila,"chx1-2/CHX1; far/+ (CHX1; cy-s, far-r, tr, IV)",,,,,,
TSC_SD00070,CU323,,T. thermophila,"CHX1/CHX1; far/far (CHX1; cy-s, far-s, gal-s, mp-s, tr, IV)",,,,,,
TSC_SD00071,CU324,,T. thermophila,"mpr1-1/mpr1-1 (MPR1; cy-s, mp-s, tr, IV)",,,,,,
TSC_SD00072,CU325,,T. thermophila,"mpr1-1/mpr1-1 (MPR1; cy-s, mp-s, tr, V)",,,,,,
TSC_SD00073,CU326,,T. thermophila,"MPR1/mpr1-1 (MPR1; cy-s, mp-s, tr, V)",,,,,Scholnick SB and Bruns PJ. 1982. A genetic analysis of tetrahymena that have aborted normal development. Genetics 102(1):29-38.,
TSC_SD00074,CU327,,T. thermophila,"MPR1/mpr1-1 (MPR1; cy-s, gal-r, mp-s, VI)",,,,,,
TSC_SD00075,CU328,,T. thermophila,"MPR1/mpr1-1 (MPR1; cy-s, mp-s, tr, VII)",,,,,,
TSC_SD00076,CU329,,T. thermophila,"chx1-1/chx1-1 (CHX1; cy-s, mp-s, tr, II)",,,,,Scholnick SB and Bruns PJ. 1982. A genetic analysis of tetrahymena that have aborted normal development. Genetics 102(1):29-38.,
TSC_SD00079,CU332,,T. thermophila,"chx1-1/CHX1; MPR1/mpr1-1 (CHX1; MPR1; cy-s, mp-s, II)",,,,,,
TSC_SD00080,CU333,,T. thermophila,"chx1-1/chx1-1 (chx1-1; cy-r, IV)",,,,,,
TSC_SD00083,CU336,,T. thermophila,"mpr1-1/mpr1-1 (MPR1; mp-s, VII)",,,,,Scholnick SB and Bruns PJ. 1982. A genetic analysis of tetrahymena that have aborted normal development. Genetics 102(1):29-38.,
TSC_SD00086,CU339,,T. thermophila,"mpr1-1/mpr1-1 (MPR1; cmp-r, mp-s, tr, VII)",,,,,,
TSC_SD00093,CU346,,T. thermophila,"MPR1/MPR1 (MPR1; mp-r, IV)",,,,,,
TSC_SD00094,CU348,,T. thermophila,"chx1-1/chx1-1; gal1-1/gal1-1 (CHX1;GAL1; cy-s, gal-s, V)",,,,,,
TSC_SD00098,CU351,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; cdaA/cdaA (CHX1; MPR1; cy-s, mp-s, II)",,,,,,
TSC_SD00099,CU352,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; cdaA/cdaA (CHX1; MPR1; cy-s, mp-s, tr, II)",,,,,,
TSC_SD00100,CU353,,T. thermophila,"mpr1-1/mpr1-1; Nulli 2L,5 (MPR1; mp-s, IV)",,,,,,
TSC_SD00101,CU354,,T. thermophila,"Nulli 2L1R,2R,4,5 (CHX1; cy-s, IV)",,,,,,
TSC_SD00104,CU357,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 4 (CHX1; mpr1-1; cy-s, mp-r, IV)",,,,,,
TSC_SD00105,CU358,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 3,4,5 (CHX1; mpr1-1; cy-s, mp-r, IV)",,,,,,
TSC_SD00106,CU359,,T. thermophila,"chx1-1/chx1-1; cdaA/cdaA; Nulli 2,3,5 (chx1-1; cy-r, mo-1, IV)",,,,,,
TSC_SD00107,CU360,,T. thermophila,"chx1-1/CHX1; MPR1/mpr1-1; cdaA1/+ (CHX1; MPR1; cy-s, mp-s, tr, II)",,,,,,
TSC_SD00108,CU361,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 3 (CHX1; mpr1-1; cy-s, mp-r, IV)",,,,,,
TSC_SD00109,CU362,,T. thermophila,"chx1-1/chx1-1; Nulli 3 (CHX1; MPR1; cy-s, mp-s, VII)",,,,,,
TSC_SD00110,CU363,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 3 (CHX1; MPR1; cy-s, mp-s, III)",,,,,,
TSC_SD00112,CU365,,T. thermophila,"chx1-1/chx1-1; pmr1-1/pmr1-1 (CHX1; PMR1; cy-s, pm-s, ts, IV)",,,,,,
TSC_SD00113,CU366,,T. thermophila,"mpr1-1/mpr1-1; Nulli 5 (MPR1; mp-s, II)",,,,,,
TSC_SD00116,CU369,,T. thermophila,"pmr1-1/pmr1-1 (PMR1; pm-s, IV)",,,,,,
TSC_SD00117,CU370,,T. thermophila,"chx1-1/chx1-1; cdaA/cdaA; Nulli 2,4,5 (CHX1; cy-s, mp-r, tr, III)",,,,,,
TSC_SD00118,CU371,,T. thermophila,"chx1-1/chx1-1; Nulli 2,3,5 (CHX1; cy-s, mp-r, tr, IV)",,,,,,
TSC_SD00119,CU372,,T. thermophila,"chx1-1/chx1-1; cdaA/cdaA; Nulli 2,5 (CHX1; cy-s, mp-r, tr, III)",,,,,,
TSC_SD00120,CU373,,T. thermophila,"CHX1/CHX1; mpr1-1/mpr1-1 (CHX1; mpr1-1; cy-s, mp-r, IV)",,,,,,
TSC_SD00121,CU374,,T. thermophila,"mpr1-1/mpr1-1; Nulli 1,4L (CHX1; mpr1-1; cy-s, mp-r, tr, IV)",,,,,,
TSC_SD00122,CU375,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; cdaA/cdaA; Nulli 2L (CHX1; mpr1-1; cy-s, mp-r, tr, IV)",,,,,,
TSC_SD00124,CU377,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; cdaA/cdaA; Nulli 1L,3,4L (CHX1; mpr1-1; cy-s, mp-r, tr, IV)",,,,,,
TSC_SD00125,CU378,,T. thermophila,"chx1-1/chx1-1; Nulli 2R,3,4,5 (CHX1; cy-s, mp-r, V)",,,,,,
TSC_SD00126,CU379,,T. thermophila,"mpr1-1/mpr1-1; Nulli 1R,3,5 (CHX1; MPR1; cy-s, mp-s, II)",,,,,,
TSC_SD00127,CU380,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 3R,4,5 (CHX1; MPR1; cy-s, mp-s, II)",,,,,,
TSC_SD00128,CU381,,T. thermophila,"chx1-1/chx1-1; mpr1-1/?; Nulli 3,4 (CHX1; MPR1; cy-s, mp-s, II)",,,,,,
TSC_SD00129,CU382,,T. thermophila,"Nulli 1,2,3R,4L (CHX1; MPR1; cy-s, mp-s, VII)",,,,,,
TSC_SD00130,CU383,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 4 (CHX1; MPR1; cy-s, mp-s, VI)",,,,,,
TSC_SD00131,CU384,,T. thermophila,"mpr1-1/mpr1-1; ts1/ts1 (CHX1; mpr1-1; cy-s, mp-r, ts, II)",,,,,,
TSC_SD00132,CU385,,T. thermophila,"mpr1-1/mpr1-1; ts1/ts1 (CHX1; mpr1-1; cy-s, mp-r, tr, II)",,,,,,
TSC_SD00133,CU386,,T. thermophila,"chx1-1/chx1-1; gal1-1/gal1-1; pig4-1/pig4-1 (CHX1; gal1-1; mpr1-1; PIG4; cy-s, gal-r, mp-r, IV)",,,,,,
TSC_SD00134,CU387,,T. thermophila,"chx1-1/chx1-1; ts1/ts1 (CHX1; cy-s, tr, VI)",,,,,,
TSC_SD00135,CU388,,T. thermophila,"chx1-1/chx1-1; ts/ts (CHX1; cy-s, tr, III)",,,,,,
TSC_SD00136,CU389,,T. thermophila,"chx1-1/chx1-1; MPR1/MPR1; Nulli 2,5 (CHX1; MPR1; cy-s, mp-s, VII)",,,,,,
TSC_SD00137,CU390,,T. thermophila,"chx1-1/chx1-1; ts102/ts102 (CHX1; cy-s, mp-r, tr, III)",,,,,,
TSC_SD00138,CU391,,T. thermophila,"chx1-1/chx1-1; ts104/ts104 (CHX1; cy-s, tr, IV)",,,,,,
TSC_SD00139,CU392,,T. thermophila,"chx1-1/chx1-1; ts106/ts106 (CHX1; cy-s, tr, IV)",,,,,,
TSC_SD00140,CU393,,T. thermophila,"chx1-1/chx1-1; ts103/ts103 (CHX1; cy-s, tr, IV)",,,,,,
TSC_SD00141,CU394,,T. thermophila,"chx1-1/CHX1; MPR1/mpr1-1; Mono 3,4,5 (CHX1; MPR1; cy-s, mp-s, II)",,,,,,
TSC_SD00142,CU395,,T. thermophila,"chx1-1/CHX1; MPR1/mpr1-1; Mono 3,4,5 (CHX1; MPR1; cy-s, mp-s, II)",,,,,,
TSC_SD00144,CU397,,T. thermophila,"chx1-1/CHX1; mpr1-1/0; cdaA/+; Mono 2,3,5 (CHX1; cy-s, mp-r, tr, IV)",,,,,,
TSC_SD00145,CU398,,T. thermophila,"mpr1-1/mpr1-1; gal1-1/gal1-1; ts1-1/ts1-1 (GAL1; MPR1; ts1-1; gal-s, mp-s, ts, IV)",,,,,,
TSC_SD00147,CU400,,T. thermophila,"mpr1-1/mpr1-1; ts105/ts105 (MPR1; mp-s, IV)",,,,,,
TSC_SD00149,CU402,,T. thermophila,"pmr1-1/pmr1-1; cdaD/cdaD (PMR1; pm-s, VII)",,,,,,
TSC_SD00150,CU403,,T. thermophila,"(CHX1; cy-s, gal-r, mp-r, ts, ?)",,,,,,
TSC_SD00151,CU404,,T. thermophila,"gal1-1/gal1-1; ts11-1/ts11-1; Nulli 1L,2R,3,5 (gal1-1; ts11-1; gal-r, ts, VII)",,,,,,
TSC_SD00153,CU406,,T. thermophila,"chx1-1/chx1-1; Nulli 5 (CHX1; cy-s, VI)",,,,,,
TSC_SD00154,CU407,,T. thermophila,"gal1-1/gal1-1; ts108-1/ts108-1 (gal1-1; TS108; gal-r, tr, II)",,,,,,
TSC_SD00155,CU408,,T. thermophila,"chx1-1/chx1-1; disA/disA (CHX1; cy-s, tr, VII)",,,,,,
TSC_SD00156,CU409,,T. thermophila,"pmr1-1/pmr1-1; cdaD/cdaD (CHX1; PMR1; cy-s, pm-s, tr, II)",,,,,,
TSC_SD00157,CU410,,T. thermophila,"mpr1-1/mpr1-1; Nulli 3,4 (MPR1; cy-r, mp-s, VI)",,,,,,
TSC_SD00158,CU411,,T. thermophila,"Nulli 1,2 (MPR1; cy-r, mp-s, VI)",,,,,,
TSC_SD00159,CU412,,T. thermophila,"chx1-1/chx1-1; mpr1-1/mpr1-1; Nulli 5 (chx1-1; mpr1-1; cy-r, mp-r, VI)",,,,,,
TSC_SD00161,CU414,,T. thermophila,"gal1-1/gal1-1; Nulli 2,3,4,5 (GAL1?; mpr1-1; ts11-1; gal?, mp-r, ts, II)",,,,,,
TSC_SD00162,CU415,,T. thermophila,"chx1-1/chx1-1?; mpr1-1/mpr1-1; gal1-1/gal1-1?; ts11-1/ts11-1 (CHX1; GAL1?; mpr1-1; ts11-1; cy-s, gal?, mp-r, ts, II)",,,,,,
TSC_SD00163,CU416,,T. thermophila,"Nulli 1L,2R,3R (CHX1; cy-s, gal?, mp-r, ts, II)",,,,,,
TSC_SD00164,CU417,,T. thermophila,"mpr1-1/mpr1-1; Nulli 1R,2L,3,4 (CHX1; mpr1-1; cy-s, gal?, mp-r, ts, II)",,,,,,
TSC_SD00165,CU418,,T. thermophila,"Nulli 2,3,4,5 (CHX1; cy-s, gal?, mp-r, ts, II)",,,,,,
TSC_SD00166,CU419,,T. thermophila,"Nulli 1,2,3,5? (CHX1; MPR1; cy-s, mp-s, tr, III)",,,,,,
TSC_SD00167,CU420,,T. thermophila,"chx1-1/chx1-1; gal1-1/gal1-1; Nulli 1L,2R,3,4 (CHX1; GAL1?; mpr1-1; ts11-1; cy-s, gal?, mp-r, ts, II)",,,,,,
TSC_SD00168,CU421,,T. thermophila,"chx1-1/chx1-1; gal1-1/gal1-1; Nulli 4 (CHX1; GAL1; mpr1-1; cy-s, gal-s, mp-r, tr, VI)",,,,,,
TSC_SD00169,CU422,,T. thermophila,"chx1-1/chx1-1; gal1-1/gal1-1; TS11/TS11 or ts11-1/ts11-1; Nulli 1L,2R,3,5 (CHX1; GAL1?; mpr1-1; ts11-1; cy-s, gal?, mp-r, ts, IV)",,,,,,
TSC_SD00170,CU423,,T. thermophila,"chx1-1/chx1-1; gal1-1/gal1-1; Nulli 2,3,4,5 (CHX1[A]; GAL1[A]; MPR1[A]; cy-s, gal-s, mp-s, III)",,,,,,
TSC_SD00171,CU424,,T. thermophila,"chx1-1/chx1-1; Nulli 1L,2R,3 (CHX1; MPR1; cy-s, mp-s, tr, III)",,,,,,
TSC_SD00172,CU425,,T. thermophila,"chx1-1/chx1-1; gal1-1/gal1-1; TS11/TS11 or ts11-1/ts11-1; Nulli 2,4L(p) (CHX1; GAL1?; ts11-1; cy-s, gal?, mp-r, ts, II)",,,,,,
TSC_SD00173,CU426,,T. thermophila,"gal1-1/gal1-1; TS11/TS11 or ts11-1/ts11-1; Nulli 1L,2R,4L(p) (CHX1; GAL1?; mpr1-1; ts11-1; cy-s, gal?, mp-r, ts, IV)",,,,,,
TSC_SD00178,CU428.2,,T. thermophila,"mpr1-1/mpr1-1 (MPR1; mp-s, VII)",,,,,,6-methylpurine resistance functional heterokaryon. Regenerated micronucleus from CU428.1 by &quot;star&quot; mating. Non-star side maintained.
TSC_SD00184,CU433,,T. thermophila,"chx1-1/chx1-1; pmr1-1/pmr1-1 (chx1-1; pmr1-1; cy-r, pm-r, tr, ?)",,,,,,
TSC_SD00185,CU434,,T. thermophila,"chx1-1/chx1-1; pmr1-1/pmr1-1; cdaD/cdaD (CHX1; PMR1/pmr1-1?; cy-s, pm-s?, tr, II)",,,,,,
TSC_SD00188,CU437,,T. thermophila,"chx1-1/chx1-1 (CHX1; PMR1; cy-s, pm-s, tr, II)",,,,,,
TSC_SD00189,CU438.1,,T. thermophila,"pmr1-1/pmr1-1 (PMR1; pm-s, IV)",,,,,,Paromomycin resistance functional heterokaryon. Regenerated micronucleus from CU438 by &quot;star&quot; mating. Non-star side maintained.
TSC_SD00190,CU439,,T. thermophila,"chx1[C3]-1/chx1[C3]-1; PMR1[C3]/ PMR1[C3] (CHX1[C3]; PMR1[C3]; cy-s, pm-s, VI)",,,,,,
TSC_SD00194,CU444,,T. thermophila,"pmr1[C3]-1/pmr1[C3]-1 (PMR1[A]; pm-s, III)",,,,,,
TSC_SD00195,CU445,,T. thermophila,"pmr1[C3]-1/pmr1[C3]-1 (pmr1-1[C3]; pm-r, ?)",,,,,,
TSC_SD00196,CU446,,T. thermophila,"pmr1[C3]-1/pmr1[C3]-1 (PMR1; pm-s, VII)",,,,,,
TSC_SD00197,CU447,,T. thermophila,"pmr1[C3]-1/pmr1[C3]-1 (pmr1-1[C3]; pm-r, ?)",,,,,,
TSC_SD00200,CU451,,T. thermophila,"MPR1/MPR1 (mp-r, II)",,,,,,
TSC_SD00201,CU452,,T. thermophila,"pmr1-1/pmr1-1; lcd1-1/lcd1-1 (pmr1-1; lcd1-1; pm-r, lcd, II)",,,,,,
TSC_SD00202,CU453,,T. thermophila,"pmr1-1/pmr1-1; lcd1-1/lcd1-1 (pmr1-1; lcd1-1; pm-r, lcd, VII)",,,,,,
TSC_SD00203,CU454,,T. thermophila,"chx1-1/CHX1; PMR1/pmr1-1; GAL1/gal1-1; CNJ1/cnj1-1 (?; ?, II)",,,,,,Macronucleus phenotype and genotype are undetermined.
TSC_SD00205,CU456,,T. thermophila,"cnj1-1/cnj1-1 (cnj1-1; cnj1, II)",,,CNJ1,,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.",
TSC_SD00209,CU460,,T. thermophila,"pmr1-1/pmr1-1; cnj2-1/cnj2-1 (cnj2-1; pmr1-1; cnj2, pm-r, II)",,,CNJ2,,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.",
TSC_SD00210,CU461,,T. thermophila,"pmr1-1/pmr1-1; cnj2-1/cnj2-1 (cnj2-1; pmr1-1; cnj2, pm-r, IV)",,,CNJ2,,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.",
TSC_SD00211,CU462,,T. thermophila,"pmr1-1/pmr1-1; cnj2-1/cnj2-1 (CNJ2; PMR1; pm-s, IV)",,,,,,
TSC_SD00212,CU463,,T. thermophila,"pmr1-1/pmr1-1; cnj3-1/cnj3-1 (cnj3-1; pmr1-1; cnj3, pm-r, ?)",,,CNJ3,,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.",
TSC_SD00214,CU465,,T. thermophila,"pmr1-1/pmr1-1; cnj3-1/cnj3-1 (CNJ3; PMR1; pm-s, IV)",,,,,,
TSC_SD00215,CU466,,T. thermophila,"pmr1-1/pmr1-1; cnj4-1/cnj4-1 (cnj4-1; pmr1-1; cnj4, pm-r, II)",,,CNJ4,,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.",
TSC_SD00217,CU468,,T. thermophila,"pmr1-1/pmr1-1; cnj4-1/cnj4-1 (CNJ4; PMR1; pm-s, IV)",,,,,,
TSC_SD00218,CU469,,T. thermophila,"pmr1-1/pmr1-1; cnj5-1/cnj5-1 (cnj5-1; pmr1-1; cnj5, pm-r, II)",,,CNJ5,,"Cole ES, Cassidy-Hanley D, Hemish J, Tuan J, Bruns PJ. 1997. A mutational analysis of conjugation in tetrahymena thermophila. 1. phenotypes affecting early development: Meiosis to nuclear selection. Dev Biol 189(2):215-32.",
